name,diameter,coordinates,approval year,gender, famous_for,ethnicity,human_name,,continent
Bunin,84°28′N 141°46′W﻿ / ﻿84.47°N 141.76°W﻿ / 84.47; -141.76﻿ (Bunin),37,2019,Male,author,Russia ,Ivan Bunin,Ivan Bunin,Europe/Asia
Gordimer,87°44′N 170°54′W﻿ / ﻿87.73°N 170.9°W﻿ / 87.73; -170.9﻿ (Gogol),58,2019,Female,writer,South Africa ,Nadine Gordimer,Nadine Gordimer,Africa
Jiménez,81°50′N 152°19′W﻿ / ﻿81.83°N 152.31°W﻿ / 81.83; -152.31﻿ (Jiménez),27,2019,Male,poet,Spain ,Juan Ramón Jiménez,Juan Ramón Jiménez,Europe
Josetsu,83°35′N 134°56′W﻿ / ﻿83.58°N 134.93°W﻿ / 83.58; -134.93﻿ (Josetsu),30,2019,Male,painter,Japan ,Taikō Josetsu,Taikō Josetsu,Asia
Kirby,82°58′N 151°19′W﻿ / ﻿82.96°N 151.32°W﻿ / 82.96; -151.32﻿ (Kipling),31,2019,Male,illustrator,United States,Jack Kirby,Jack Kirby,North America
Martins,8°00′S 304°56′W﻿ / ﻿8°S 304.93°W﻿ / -8; -304.93﻿ (Martí),12.4,2019,Female,sculptor,Brazil ,Maria Martins,Maria Martins,South America
Rizal,82°29′N 146°59′W﻿ / ﻿82.48°N 146.98°W﻿ / 82.48; -146.98﻿ (Rivera),64,2019,Male,writer,Philippines,José Rizal,José Rizal,Asia
Strauss,70°25′N 285°32′E﻿ / ﻿70.42°N 285.53°E﻿ / 70.42; 285.53﻿ (Stieglitz),17,2019,Mixed,musician,Austria ,Strauss family of musicians,Strauss family of musicians,Europe
Berry,70°34′N 247°16′W﻿ / ﻿70.57°N 247.27°W﻿ / 70.57; -247.27﻿ (Berry),25,2020,Male,singer,United States ,Chuck Berry,Chuck Berry,North America
Vazov,65°24′S 212°20′W﻿ / ﻿65.4°S 212.33°W﻿ / -65.4; -212.33﻿ (Vazov),33,2020,Male,poet,Bulgaria,Ivan Vazov,Ivan Vazov,Europe
Wen Tianxiang,45°20′S 191°36′W﻿ / ﻿45.34°S 191.6°W﻿ / -45.34; -191.6﻿ (Wagner),166.42,2020,Male,poet,China ,Wen Tianxiang,Wen Tianxiang,Asia
Veronese,5°18′N 55°57′W﻿ / ﻿5.3°N 55.95°W﻿ / 5.3; -55.95﻿ (Veronese),45,2021,Male,painter,Italy ,Paolo Veronese,Paolo Veronese,Europe
Lorde,69°07′S 49°28′W﻿ / ﻿69.12°S 49.47°W﻿ / -69.12; -49.47﻿ (Lorde),45,2022,Female,writer,United States,Audre Lorde,Audre Lorde,North America
MacNicol,68°11′S 355°57′W﻿ / ﻿68.19°S 355.95°W﻿ / -68.19; -355.95﻿ (MacNicol),42,2022,Female,painter,Scotland ,Bessie MacNicol,Bessie MacNicol,Europe
Morrison,79°40′N 232°34′E﻿ / ﻿79.66°N 232.57°E﻿ / 79.66; 232.57﻿ (Moody),35,2022,Female,author,United States,Toni Morrison; American author,Toni Morrison,North America
Nairne,70°20′S 1°35′E﻿ / ﻿70.34°S 1.59°E﻿ / -70.34; 1.59﻿ (Nairne),56,2022,Female,songwriter,Scotland ,Carolina Nairne,Carolina Nairne,Europe
Asawa,27°16′N 315°17′W﻿ / ﻿27.26°N 315.28°W﻿ / 27.26; -315.28﻿ (Asawa),130,2024,Female,sculptor,United States ,Ruth Aiko Asawa,Ruth Aiko Asawa,North America
Bilokur,0°47′S 108°20′W﻿ / ﻿0.79°S 108.33°W﻿ / -0.79; -108.33﻿ (Bilokur),67,2024,Female,painter,Ukraine ,Kateryna Bilokur,Kateryna Bilokur,Europe
Codesido,68°11′S 206°59′W﻿ / ﻿68.19°S 206.99°W﻿ / -68.19; -206.99﻿ (Codesido),64,2024,Female,painter,Peru ,Julia Codesido,Julia Codesido,South America
El Husseini,75°20′S 333°20′W﻿ / ﻿75.34°S 333.34°W﻿ / -75.34; -333.34﻿ (El Husseini),87,2024,Female,painter,Palestine ,Jumana El Husseini,Jumana El Husseini,Asia
Freire,73°22′S 214°28′W﻿ / ﻿73.36°S 214.46°W﻿ / -73.36; -214.46﻿ (Freire),51,2024,Female,painter,Uruguay ,María Freire,María Freire,South America
Halim,48°52′N 100°56′W﻿ / ﻿48.87°N 100.94°W﻿ / 48.87; -100.94﻿ (Halim),44,2024,Female,painter,Egypt,Tahia Halim,Tahia Halim,Africa
Le Guin,18°46′S 102°44′W﻿ / ﻿18.76°S 102.74°W﻿ / -18.76; -102.74﻿ (Le Guin),61,2024,Female,author,United States,Ursula K. Le Guin,Ursula K. Le Guin,North America
Wu Shujuan,70°48′S 346°44′W﻿ / ﻿70.8°S 346.73°W﻿ / -70.8; -346.73﻿ (Wu Shujuan),109,2024,Female,painter,China ,Wu Shujuan,Wu Shujuan,Asia
Carvalho,26°49′N 51°37′W﻿ / ﻿26.82°N 51.61°W﻿ / 26.82; -51.61﻿ (Carvalho),90,,Female,musician,Brazil ,Beth Carvalho,Beth Carvalho,South America
